Country Name,Country Code,Indicator Name,Indicator Code,2019,2020,2021,2022,2023,Latitude,Longitude
Albania,ALB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,59.41,57.07,56.22,55.06,,41.1533,20.1683
Armenia,ARM,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,73.7,74.13,78.22,75.78,,40.0691,45.0382
Austria,AUT,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,67.22,65.35,64.9,64.1,62.06,47.5162,14.5501
Azerbaijan,AZE,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,99.08,99.19,99.43,100.0,,40.1431,47.5769
Belgium,BEL,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,70.21,71.0,67.18,67.09,69.34,50.5039,4.4699
Bulgaria,BGR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,65.63,62.09,65.86,68.8,,42.7339,25.4858
Bosnia and Herzegovina,BIH,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,79.58,80.53,79.95,78.81,,43.9159,17.6791
Belarus,BLR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,94.01,92.59,87.69,86.62,,53.7098,27.9534
Switzerland,CHE,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,47.91,47.41,48.3,45.34,44.47,46.8182,8.2275
Cyprus,CYP,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,90.0,87.61,86.87,86.5,,35.1264,33.4299
Czechia,CZE,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,72.23,69.59,70.25,70.25,67.78,49.8175,15.473
Germany,DEU,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,78.08,76.68,77.03,78.47,77.6,51.1657,10.4515
Denmark,DNK,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,58.52,55.01,53.53,54.36,50.01,56.2639,9.5018
Spain,ESP,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,72.1,68.7,70.32,71.76,68.51,40.4637,-3.7492
Estonia,EST,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,71.04,62.75,65.31,69.95,60.93,58.5953,25.0136
Finland,FIN,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,39.79,39.27,36.31,35.74,32.66,61.9241,25.7482
France,FRA,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,47.74,46.85,47.34,49.71,46.47,46.6034,1.8883
United Kingdom,GBR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,77.87,76.21,77.54,77.21,75.54,55.3781,-3.436
Georgia,GEO,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,77.24,77.97,75.86,78.88,,42.3154,43.3569
Greece,GRC,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,83.16,81.17,81.81,81.71,79.08,39.0742,21.8243
Croatia,HRV,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,68.82,68.25,66.42,67.97,,45.1,15.2
Hungary,HUN,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,68.28,67.86,67.9,66.04,64.22,47.1625,19.5033
Ireland,IRL,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,86.87,85.91,86.58,85.84,82.36,53.1424,-7.6921
Iceland,ISL,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,11.2,10.34,11.11,11.69,10.33,64.9631,-19.0208
Italy,ITA,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,78.87,77.58,78.28,78.73,76.77,41.8719,12.5674
Lithuania,LTU,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,64.97,65.7,62.69,61.9,61.44,55.1694,23.8813
Luxembourg,LUX,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,78.18,73.45,74.02,71.34,70.39,49.8153,6.1296
Latvia,LVA,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,56.35,53.24,53.05,49.12,47.81,56.8796,24.6032
Moldova,MDA,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,81.65,83.1,83.5,81.27,,47.4116,28.3699
North Macedonia,MKD,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,82.46,78.38,78.0,82.16,,41.9981,21.4254
Malta,MLT,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,87.45,88.58,88.08,87.17,,35.9375,14.3754
Montenegro,MNE,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,69.29,69.86,68.28,72.15,,42.7087,19.3744
Netherlands,NLD,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,89.64,87.77,86.2,83.92,83.52,52.1326,5.2913
Norway,NOR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,52.11,51.78,50.61,46.54,46.29,60.472,8.4689
Poland,POL,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,86.23,85.4,87.22,86.42,84.61,51.9194,19.1451
Portugal,PRT,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,73.11,70.41,67.8,67.38,63.08,39.3999,-8.2245
Romania,ROU,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,72.04,70.47,71.19,70.42,,45.9432,24.9668
Russian Federation,RUS,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,89.09,88.45,89.46,89.45,,,
Serbia,SRB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,86.62,84.51,82.44,83.02,,44.0165,21.0059
Slovenia,SVN,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,60.99,58.34,58.93,59.15,57.79,46.1512,14.9955
Sweden,SWE,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,26.13,25.17,25.12,24.28,24.88,60.1282,18.6435
Turkiye,TUR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,83.16,82.6,83.83,81.77,81.35,,
Ukraine,UKR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,70.43,70.44,67.73,65.48,,48.3794,31.1656
